date,currencyal,currencyuk,currencyeu,currencysz,currencyno,currencyjp,currencyca,currencynz,currencysd
2021-11-08,1.3461,0.7373,0.8628,1.159,8.5073,113.15,1.2441,1.3941,8.5724
2021-11-09,1.357,0.738,0.8629,1.1589,8.5238,112.87,1.2457,1.4039,8.5724
2021-11-10,1.3587,0.7424,0.8683,1.1517,8.5984,113.89,1.2447,1.411,8.6679
2021-11-11,.,.,.,.,.,.,.,.,.
2021-11-12,1.3657,0.7456,0.8739,1.1443,8.6867,113.9,1.2558,1.4205,8.7501
2021-11-15,1.3585,0.7438,0.8756,1.1421,8.6947,113.96,1.2515,1.4166,8.7707
2021-11-16,1.3682,0.7447,0.8824,1.1333,8.7223,114.62,1.2562,1.43,8.8675
2021-11-17,1.3749,0.7414,0.8832,1.1322,8.7439,114.33,1.2594,1.4284,8.8595
2021-11-18,1.3755,0.7413,0.8804,1.1358,8.8231,114.22,1.2629,1.4223,8.8889
2021-11-19,1.378,0.7422,0.8835,1.1318,8.8702,113.81,1.2631,1.4251,8.9138
2021-11-22,1.3822,0.7456,0.8881,1.126,8.9068,114.69,1.2684,1.4355,8.967
2021-11-23,1.3847,0.7469,0.8877,1.1265,8.9082,114.98,1.2712,1.4397,9.0307
2021-11-24,1.3895,0.7501,0.8932,1.1196,8.9658,115.34,1.2657,1.456,9.1158
2021-11-25,.,.,.,.,.,.,.,.,.
2021-11-26,1.4037,0.7506,0.8848,1.1302,9.0849,113.46,1.2756,1.4652,9.1099
2021-11-29,1.4047,0.7524,0.888,1.1261,9.0579,113.75,1.2792,1.4728,9.1032
2021-11-30,1.4108,0.7546,0.886,1.1287,9.1119,113.22,1.2812,1.4717,9.0762
2021-12-01,1.4021,0.7514,0.8832,1.1323,9.1119,112.82,1.2778,1.4622,9.0778
2021-12-02,1.409,0.7516,0.8845,1.1306,9.0937,113.1,1.2814,1.4674,9.0464
2021-12-03,1.4263,0.7556,0.8843,1.1308,9.1854,112.88,1.2833,1.4808,9.1426
2021-12-06,1.4196,0.7546,0.8864,1.1282,9.1191,113.31,1.2785,1.4819,9.0929
2021-12-07,1.4059,0.7555,0.8891,1.1247,9.0344,113.61,1.2651,1.4756,9.1201
2021-12-08,1.3953,0.7555,0.8826,1.133,8.8878,113.83,1.2653,1.4691,9.0472
2021-12-09,1.3994,0.7583,0.8861,1.1285,9.0008,113.53,1.2698,1.4743,9.0788
2021-12-10,1.3933,0.754,0.884,1.1312,8.9529,113.36,1.2706,1.471,9.0522
2021-12-13,1.4039,0.7557,0.8851,1.1298,9.052,113.42,1.2795,1.4804,9.0921
2021-12-14,1.4079,0.7561,0.8875,1.1267,9.1138,113.63,1.2858,1.4824,9.1447
2021-12-15,1.4035,0.7568,0.888,1.1261,9.0847,113.83,1.2916,1.4848,9.1237
2021-12-16,1.3906,0.7505,0.8843,1.1309,8.9925,113.67,1.2772,1.4684,9.0505
2021-12-17,1.399,0.7536,0.8868,1.1277,9.0072,113.56,1.283,1.4804,9.0966
2021-12-20,1.4051,0.7563,0.8851,1.1298,9.0488,113.45,1.2941,1.4883,9.139
2021-12-21,1.4006,0.7545,0.8872,1.1272,8.96,114.11,1.2927,1.4802,9.1477
2021-12-22,1.386,0.7493,0.8831,1.1324,8.8812,114.22,1.2844,1.4669,9.0893
2021-12-23,1.3812,0.7457,0.8834,1.132,8.8343,114.42,1.2809,1.465,9.0923
2021-12-24,.,.,.,.,.,.,.,.,.
2021-12-27,1.3816,0.7442,0.8827,1.1329,8.8391,114.85,1.2797,1.4682,9.1011
2021-12-28,1.3826,0.7445,0.8839,1.1314,8.8008,114.75,1.2814,1.4706,9.0503
2021-12-29,1.381,0.7421,0.8821,1.1337,8.795,114.97,1.281,1.465,9.0459
2021-12-30,1.3774,0.7407,0.8835,1.1318,8.8076,115.17,1.2777,1.4622,9.0498
2021-12-31,.,.,.,.,.,.,.,.,.
2022-01-03,1.3899,0.7424,0.8857,1.129,8.8747,115.27,1.2757,1.4734,9.1206
2022-01-04,1.381,0.7383,0.8853,1.1296,8.8417,116.12,1.2697,1.4689,9.0867
2022-01-05,1.3774,0.7368,0.8822,1.1335,8.8014,115.91,1.27,1.465,9.0637
2022-01-06,1.3951,0.7386,0.8844,1.1307,8.8842,115.78,1.2725,1.4819,9.1321
