DATE,DEXSDUS
2021-10-28,8.5318
2021-10-29,8.593
2021-11-01,8.5119
2021-11-02,8.5707
2021-11-03,8.5583
2021-11-04,8.5814
2021-11-05,8.5831
2021-11-08,8.5724
2021-11-09,8.5724
2021-11-10,8.6679
2021-11-11,.
2021-11-12,8.7501
2021-11-15,8.7707
2021-11-16,8.8675
2021-11-17,8.8595
2021-11-18,8.8889
2021-11-19,8.9138
2021-11-22,8.967
2021-11-23,9.0307
2021-11-24,9.1158
2021-11-25,.
2021-11-26,9.1099
2021-11-29,9.1032
2021-11-30,9.0762
2021-12-01,9.0778
2021-12-02,9.0464
2021-12-03,9.1426
2021-12-06,9.0929
2021-12-07,9.1201
2021-12-08,9.0472
2021-12-09,9.0788
2021-12-10,9.0522
2021-12-13,9.0921
2021-12-14,9.1447
2021-12-15,9.1237
2021-12-16,9.0505
2021-12-17,9.0966
2021-12-20,9.139
2021-12-21,9.1477
2021-12-22,9.0893
2021-12-23,9.0923
2021-12-24,.
2021-12-27,9.1011
2021-12-28,9.0503
2021-12-29,9.0459
2021-12-30,9.0498
2021-12-31,.
2022-01-03,9.1206
2022-01-04,9.0867
2022-01-05,9.0637
2022-01-06,9.1321
2022-01-07,9.0604
2022-01-10,9.104
2022-01-11,9.0515
2022-01-12,8.9525
2022-01-13,8.9203
2022-01-14,9.0108
2022-01-17,.
2022-01-18,9.1213
2022-01-19,9.1043
2022-01-20,9.121
2022-01-21,9.1893
2022-01-24,9.3324
2022-01-25,9.2868
2022-01-26,9.2624
2022-01-27,9.3789
2022-01-28,9.4335
2022-01-31,9.3341
2022-02-01,9.281
2022-02-02,9.2823
2022-02-03,9.1233
2022-02-04,9.1382
2022-02-07,9.1433
2022-02-08,9.1522
2022-02-09,9.0914
2022-02-10,9.1924
2022-02-11,9.2583
2022-02-14,9.3785
2022-02-15,9.2674
2022-02-16,9.274
2022-02-17,9.33
2022-02-18,9.3911
2022-02-21,.
2022-02-22,9.3181
2022-02-23,9.3662
2022-02-24,9.5721
2022-02-25,9.4213
2022-02-28,9.4481
2022-03-01,9.6436
2022-03-02,9.6836
2022-03-03,9.7703
2022-03-04,9.8679
2022-03-07,10.0055
2022-03-08,9.9601
2022-03-09,9.6751
2022-03-10,9.6597
2022-03-11,9.7179
2022-03-14,9.5766
2022-03-15,9.616
2022-03-16,9.4655
2022-03-17,9.3951
2022-03-18,9.4179
2022-03-21,9.4387
2022-03-22,9.4184
2022-03-23,9.4539
2022-03-24,9.3974
2022-03-25,9.4281
2022-03-28,9.5146
2022-03-29,9.2926
2022-03-30,9.2552
2022-03-31,9.3469
2022-04-01,9.3575
2022-04-04,9.4092
2022-04-05,9.4169
2022-04-06,9.4151
2022-04-07,9.4576
2022-04-08,9.4339
2022-04-11,9.4839
2022-04-12,9.4866
2022-04-13,9.4955
2022-04-14,9.5322
2022-04-15,9.5685
2022-04-18,9.5967
2022-04-19,9.5659
2022-04-20,9.438
2022-04-21,9.4918
2022-04-22,9.5434
2022-04-25,9.7392
2022-04-26,9.7993
2022-04-27,9.849
2022-04-28,9.8478
2022-04-29,9.8011
2022-05-02,9.8905
2022-05-03,9.8541
2022-05-04,9.8618
2022-05-05,9.9672
2022-05-06,9.9201
2022-05-09,10.084
2022-05-10,10.0699
2022-05-11,10.0144
2022-05-12,10.145
2022-05-13,10.0575
2022-05-16,10.0705
2022-05-17,9.9248
2022-05-18,10.003
2022-05-19,9.9099
2022-05-20,9.9506
2022-05-23,9.8306
2022-05-24,9.7688
2022-05-25,9.8867
2022-05-26,9.8743
2022-05-27,9.836
2022-05-30,.
2022-05-31,9.7641
2022-06-01,9.8602
2022-06-02,9.7259
2022-06-03,9.7769
2022-06-06,9.7797
2022-06-07,9.7933
2022-06-08,9.7809
2022-06-09,9.8777
2022-06-10,10.017
2022-06-13,10.1753
2022-06-14,10.1997
2022-06-15,10.2548
2022-06-16,10.1781
2022-06-17,10.2012
2022-06-20,.
2022-06-21,10.0844
2022-06-22,10.0774
2022-06-23,10.194
2022-06-24,10.1325
2022-06-27,10.0603
2022-06-28,10.1233
2022-06-29,10.1998
2022-06-30,10.24
2022-07-01,10.3358
2022-07-04,.
2022-07-05,10.5264
2022-07-06,10.5621
2022-07-07,10.5523
2022-07-08,10.5523
2022-07-11,10.5889
2022-07-12,10.545
2022-07-13,10.5139
2022-07-14,10.5677
2022-07-15,10.4818
2022-07-18,10.3474
2022-07-19,10.2143
2022-07-20,10.2195
2022-07-21,10.233
2022-07-22,10.2069
2022-07-25,10.1975
2022-07-26,10.3258
2022-07-27,10.3441
2022-07-28,10.247
2022-07-29,10.1871
2022-08-01,10.0995
2022-08-02,10.2032
2022-08-03,10.2234
2022-08-04,10.1344
2022-08-05,10.1988
2022-08-08,10.1527
2022-08-09,10.1606
2022-08-10,10.0282
2022-08-11,10.0363
2022-08-12,10.1982
2022-08-15,10.3055
2022-08-16,10.3475
2022-08-17,10.408
2022-08-18,10.4803
2022-08-19,10.5913
2022-08-22,10.7208
2022-08-23,10.6062
2022-08-24,10.605
2022-08-25,10.5966
