DATE,DEXUSUK
2021-10-28,1.3804
2021-10-29,1.3686
2021-11-01,1.3679
2021-11-02,1.3612
2021-11-03,1.3659
2021-11-04,1.3494
2021-11-05,1.3491
2021-11-08,1.3563
2021-11-09,1.3551
2021-11-10,1.347
2021-11-11,.
2021-11-12,1.3412
2021-11-15,1.3444
2021-11-16,1.3429
2021-11-17,1.3488
2021-11-18,1.3489
2021-11-19,1.3474
2021-11-22,1.3412
2021-11-23,1.3388
2021-11-24,1.3332
2021-11-25,.
2021-11-26,1.3322
2021-11-29,1.3291
2021-11-30,1.3252
2021-12-01,1.3308
2021-12-02,1.3305
2021-12-03,1.3234
2021-12-06,1.3252
2021-12-07,1.3236
2021-12-08,1.3236
2021-12-09,1.3188
2021-12-10,1.3262
2021-12-13,1.3233
2021-12-14,1.3225
2021-12-15,1.3214
2021-12-16,1.3325
2021-12-17,1.3269
2021-12-20,1.3222
2021-12-21,1.3253
2021-12-22,1.3345
2021-12-23,1.341
2021-12-24,.
2021-12-27,1.3438
2021-12-28,1.3432
2021-12-29,1.3475
2021-12-30,1.35
2021-12-31,.
2022-01-03,1.3469
2022-01-04,1.3544
2022-01-05,1.3573
2022-01-06,1.3539
2022-01-07,1.3583
2022-01-10,1.3567
2022-01-11,1.3622
2022-01-12,1.3698
2022-01-13,1.3724
2022-01-14,1.367
2022-01-17,.
2022-01-18,1.3588
2022-01-19,1.3625
2022-01-20,1.3642
2022-01-21,1.3562
2022-01-24,1.3447
2022-01-25,1.3495
2022-01-26,1.3516
2022-01-27,1.3385
2022-01-28,1.3417
2022-01-31,1.3439
2022-02-01,1.3505
2022-02-02,1.3565
2022-02-03,1.3602
2022-02-04,1.3543
2022-02-07,1.3533
2022-02-08,1.3552
2022-02-09,1.354
2022-02-10,1.3636
2022-02-11,1.3601
2022-02-14,1.3516
2022-02-15,1.3539
2022-02-16,1.3585
2022-02-17,1.3624
2022-02-18,1.3585
2022-02-21,.
2022-02-22,1.3597
2022-02-23,1.3555
2022-02-24,1.336
2022-02-25,1.3407
2022-02-28,1.3419
2022-03-01,1.3318
2022-03-02,1.3365
2022-03-03,1.3326
2022-03-04,1.3214
2022-03-07,1.3115
2022-03-08,1.3101
2022-03-09,1.316
2022-03-10,1.3108
2022-03-11,1.3063
2022-03-14,1.3044
2022-03-15,1.3065
2022-03-16,1.3096
2022-03-17,1.3159
2022-03-18,1.3169
2022-03-21,1.3201
2022-03-22,1.3258
2022-03-23,1.3212
2022-03-24,1.3183
2022-03-25,1.3193
2022-03-28,1.3091
2022-03-29,1.3125
2022-03-30,1.3149
2022-03-31,1.3152
2022-04-01,1.3114
2022-04-04,1.3116
2022-04-05,1.3101
2022-04-06,1.3082
2022-04-07,1.306
2022-04-08,1.3032
2022-04-11,1.3033
2022-04-12,1.3031
2022-04-13,1.3072
2022-04-14,1.3052
2022-04-15,1.3066
2022-04-18,1.3019
2022-04-19,1.3009
2022-04-20,1.3055
2022-04-21,1.3042
2022-04-22,1.2848
2022-04-25,1.2698
2022-04-26,1.2617
2022-04-27,1.2547
2022-04-28,1.2443
2022-04-29,1.2565
2022-05-02,1.2523
2022-05-03,1.251
2022-05-04,1.2487
2022-05-05,1.2334
2022-05-06,1.2344
2022-05-09,1.2335
2022-05-10,1.2313
2022-05-11,1.2317
2022-05-12,1.2198
2022-05-13,1.2242
2022-05-16,1.227
2022-05-17,1.2468
2022-05-18,1.2396
2022-05-19,1.2504
2022-05-20,1.2492
2022-05-23,1.2571
2022-05-24,1.2544
2022-05-25,1.2539
2022-05-26,1.2582
2022-05-27,1.2613
2022-05-30,.
2022-05-31,1.2624
2022-06-01,1.2472
2022-06-02,1.2557
2022-06-03,1.2496
2022-06-06,1.2544
2022-06-07,1.2594
2022-06-08,1.2557
2022-06-09,1.2511
2022-06-10,1.233
2022-06-13,1.217
2022-06-14,1.2011
2022-06-15,1.2057
2022-06-16,1.2341
2022-06-17,1.2201
2022-06-20,.
2022-06-21,1.2277
2022-06-22,1.228
2022-06-23,1.224
2022-06-24,1.2273
2022-06-27,1.2305
2022-06-28,1.22
2022-06-29,1.2151
2022-06-30,1.2162
2022-07-01,1.2048
2022-07-04,.
2022-07-05,1.1932
2022-07-06,1.1907
2022-07-07,1.1994
2022-07-08,1.2036
2022-07-11,1.1907
2022-07-12,1.1905
2022-07-13,1.1919
2022-07-14,1.1827
2022-07-15,1.1857
2022-07-18,1.1989
2022-07-19,1.2022
2022-07-20,1.1989
2022-07-21,1.1968
2022-07-22,1.2019
2022-07-25,1.2042
2022-07-26,1.2036
2022-07-27,1.2027
2022-07-28,1.2126
2022-07-29,1.2183
2022-08-01,1.2278
2022-08-02,1.2218
2022-08-03,1.2132
2022-08-04,1.2141
2022-08-05,1.2061
2022-08-08,1.2098
2022-08-09,1.2089
2022-08-10,1.2245
2022-08-11,1.223
2022-08-12,1.2132
2022-08-15,1.209
2022-08-16,1.209
2022-08-17,1.203
2022-08-18,1.197
2022-08-19,1.181
2022-08-22,1.1752
2022-08-23,1.1844
2022-08-24,1.1802
2022-08-25,1.1803
2022-08-26,1.1778
2022-08-29,1.1718
2022-08-30,1.1651
2022-08-31,1.1647
2022-09-01,1.1541
2022-09-02,1.1582
2022-09-05,.
2022-09-06,1.1549
2022-09-07,1.1473
2022-09-08,1.1489
2022-09-09,1.16
2022-09-12,1.1701
2022-09-13,1.1526
2022-09-14,1.1564
2022-09-15,1.1472
2022-09-16,1.1419
2022-09-19,1.1403
2022-09-20,1.1405
2022-09-21,1.133
2022-09-22,1.1269
2022-09-23,1.0921
2022-09-26,1.0703
2022-09-27,1.0753
2022-09-28,1.0832
2022-09-29,1.1048
2022-09-30,1.1134
2022-10-03,1.1272
2022-10-04,1.1446
2022-10-05,1.1275
2022-10-06,1.1133
2022-10-07,1.1116
2022-10-10,.
2022-10-11,1.1168
2022-10-12,1.1096
2022-10-13,1.1344
2022-10-14,1.1208
2022-10-17,1.1427
2022-10-18,1.1307
2022-10-19,1.1232
2022-10-20,1.1288
2022-10-21,1.1292
2022-10-24,1.1295
2022-10-25,1.1469
2022-10-26,1.1615
2022-10-27,1.1574
2022-10-28,1.1573
