('2021-11-05', '0.7408')
('2021-11-08', '0.7429')
('2021-11-09', '0.7369')
('2021-11-10', '0.736')
('2021-11-11', '.')
('2021-11-12', '0.7322')
('2021-11-15', '0.7361')
('2021-11-16', '0.7309')
('2021-11-17', '0.7273')
('2021-11-18', '0.727')
('2021-11-19', '0.7257')
('2021-11-22', '0.7235')
('2021-11-23', '0.7222')
('2021-11-24', '0.7197')
('2021-11-25', '.')
('2021-11-26', '0.7124')
('2021-11-29', '0.7119')
('2021-11-30', '0.7088')
('2021-12-01', '0.7132')
('2021-12-02', '0.7097')
('2021-12-03', '0.7011')
('2021-12-06', '0.7044')
('2021-12-07', '0.7113')
('2021-12-08', '0.7167')
('2021-12-09', '0.7146')
('2021-12-10', '0.7177')
('2021-12-13', '0.7123')
('2021-12-14', '0.7103')
('2021-12-15', '0.7125')
('2021-12-16', '0.7191')
('2021-12-17', '0.7148')
('2021-12-20', '0.7117')
('2021-12-21', '0.714')
('2021-12-22', '0.7215')
('2021-12-23', '0.724')
('2021-12-24', '.')
('2021-12-27', '0.7238')
('2021-12-28', '0.7233')
('2021-12-29', '0.7241')
('2021-12-30', '0.726')
('2021-12-31', '.')
('2022-01-03', '0.7195')
('2022-01-04', '0.7241')
('2022-01-05', '0.726')
('2022-01-06', '0.7168')
('2022-01-07', '0.7186')
('2022-01-10', '0.717')
('2022-01-11', '0.7198')
('2022-01-12', '0.7277')
('2022-01-13', '0.7299')
('2022-01-14', '0.7222')
('2022-01-17', '.')
('2022-01-18', '0.7188')
('2022-01-19', '0.7226')
('2022-01-20', '0.7266')
('2022-01-21', '0.7199')
('2022-01-24', '0.7101')
('2022-01-25', '0.7138')
('2022-01-26', '0.7167')
('2022-01-27', '0.7044')
('2022-01-28', '0.6998')
('2022-01-31', '0.7064')
('2022-02-01', '0.711')
('2022-02-02', '0.7125')
('2022-02-03', '0.7143')
('2022-02-04', '0.7067')
('2022-02-07', '0.7111')
('2022-02-08', '0.7133')
('2022-02-09', '0.7183')
('2022-02-10', '0.7245')
('2022-02-11', '0.7177')
('2022-02-14', '0.7127')
('2022-02-15', '0.7152')
('2022-02-16', '0.7183')
('2022-02-17', '0.7195')
('2022-02-18', '0.7174')
('2022-02-21', '.')
('2022-02-22', '0.7226')
('2022-02-23', '0.7245')
('2022-02-24', '0.7133')
('2022-02-25', '0.7218')
('2022-02-28', '0.7261')
('2022-03-01', '0.7248')
('2022-03-02', '0.7282')
('2022-03-03', '0.7315')
('2022-03-04', '0.7362')
('2022-03-07', '0.7321')
('2022-03-08', '0.7262')
('2022-03-09', '0.7323')
('2022-03-10', '0.7361')
('2022-03-11', '0.7308')
('2022-03-14', '0.7228')
('2022-03-15', '0.7196')
('2022-03-16', '0.7251')
('2022-03-17', '0.7388')
('2022-03-18', '0.7402')
('2022-03-21', '0.7419')
('2022-03-22', '0.7438')
('2022-03-23', '0.7498')
('2022-03-24', '0.7505')
('2022-03-25', '0.7501')
('2022-03-28', '0.7483')
('2022-03-29', '0.7502')
('2022-03-30', '0.7508')
('2022-03-31', '0.7499')
('2022-04-01', '0.7493')
('2022-04-04', '0.7549')
('2022-04-05', '0.7598')
('2022-04-06', '0.7542')
('2022-04-07', '0.7472')
('2022-04-08', '0.7461')
('2022-04-11', '0.742')
('2022-04-12', '0.748')
('2022-04-13', '0.743')
('2022-04-14', '0.7404')
('2022-04-15', '0.7401')
('2022-04-18', '0.7353')
('2022-04-19', '0.737')
('2022-04-20', '0.7452')
('2022-04-21', '0.7376')
('2022-04-22', '0.7257')
('2022-04-25', '0.7147')
('2022-04-26', '0.7145')
('2022-04-27', '0.7124')
('2022-04-28', '0.7077')
('2022-04-29', '0.7101')
('2022-05-02', '0.7058')
('2022-05-03', '0.7099')
('2022-05-04', '0.7145')
('2022-05-05', '0.7089')
('2022-05-06', '0.7091')
('2022-05-09', '0.6989')
('2022-05-10', '0.6925')
('2022-05-11', '0.6994')
('2022-05-12', '0.6852')
('2022-05-13', '0.6918')
('2022-05-16', '0.6943')
('2022-05-17', '0.7013')
('2022-05-18', '0.6998')
('2022-05-19', '0.7057')
('2022-05-20', '0.7032')
('2022-05-23', '0.7099')
('2022-05-24', '0.7081')
('2022-05-25', '0.7066')
('2022-05-26', '0.7078')
('2022-05-27', '0.7155')
('2022-05-30', '.')
('2022-05-31', '0.7188')
('2022-06-01', '0.7164')
('2022-06-02', '0.7251')
('2022-06-03', '0.7209')
('2022-06-06', '0.7207')
('2022-06-07', '0.7212')
('2022-06-08', '0.7218')
('2022-06-09', '0.712')
('2022-06-10', '0.7054')
('2022-06-13', '0.6946')
('2022-06-14', '0.6885')
('2022-06-15', '0.6946')
('2022-06-16', '0.6998')
('2022-06-17', '0.6923')
('2022-06-20', '.')
('2022-06-21', '0.6975')
('2022-06-22', '0.6934')
('2022-06-23', '0.6893')
('2022-06-24', '0.6946')
('2022-06-27', '0.6942')
('2022-06-28', '0.6916')
('2022-06-29', '0.6887')
('2022-06-30', '0.6905')
('2022-07-01', '0.6789')
('2022-07-04', '.')
('2022-07-05', '0.6774')
('2022-07-06', '0.6774')
('2022-07-07', '0.6827')
('2022-07-08', '0.6858')
('2022-07-11', '0.675')
('2022-07-12', '0.6772')
('2022-07-13', '0.6786')
('2022-07-14', '0.6744')
('2022-07-15', '0.6793')
('2022-07-18', '0.6838')
('2022-07-19', '0.6904')
('2022-07-20', '0.6897')
('2022-07-21', '0.6896')
('2022-07-22', '0.6948')
('2022-07-25', '0.6954')
('2022-07-26', '0.6939')
('2022-07-27', '0.6921')
('2022-07-28', '0.6971')
('2022-07-29', '0.6985')
('2022-08-01', '0.7035')
('2022-08-02', '0.6952')
('2022-08-03', '0.693')
('2022-08-04', '0.6966')
('2022-08-05', '0.6901')
('2022-08-08', '0.6991')
('2022-08-09', '0.6973')
('2022-08-10', '0.7099')
('2022-08-11', '0.7119')
('2022-08-12', '0.7106')
('2022-08-15', '0.7046')
('2022-08-16', '0.7011')
('2022-08-17', '0.6914')
('2022-08-18', '0.693')
('2022-08-19', '0.687')
('2022-08-22', '0.6871')
('2022-08-23', '0.6943')
('2022-08-24', '0.6913')
('2022-08-25', '0.6961')
('2022-08-26', '0.6921')
('2022-08-29', '0.6909')
('2022-08-30', '0.6875')
('2022-08-31', '0.6866')
('2022-09-01', '0.678')
('2022-09-02', '0.6845')
('2022-09-05', '.')
('2022-09-06', '0.675')
('2022-09-07', '0.6731')
('2022-09-08', '0.674')
('2022-09-09', '0.6846')
('2022-09-12', '0.6887')
('2022-09-13', '0.6763')
('2022-09-14', '0.6752')
('2022-09-15', '0.6708')
('2022-09-16', '0.6703')
('2022-09-19', '0.6694')
('2022-09-20', '0.6704')
('2022-09-21', '0.6661')
('2022-09-22', '0.6636')
('2022-09-23', '0.6543')
('2022-09-26', '0.6466')
('2022-09-27', '0.6445')
('2022-09-28', '0.6512')
('2022-09-29', '0.649')
('2022-09-30', '0.6437')
('2022-10-03', '0.6501')
('2022-10-04', '0.6493')
('2022-10-05', '0.6466')
('2022-10-06', '0.6411')
('2022-10-07', '0.6393')
('2022-10-10', '.')
('2022-10-11', '0.6329')
('2022-10-12', '0.6273')
('2022-10-13', '0.6285')
('2022-10-14', '0.6219')
('2022-10-17', '0.6309')
('2022-10-18', '0.6281')
('2022-10-19', '0.6271')
('2022-10-20', '0.6336')
('2022-10-21', '0.6368')
('2022-10-24', '0.631')
('2022-10-25', '0.6395')
('2022-10-26', '0.6499')
('2022-10-27', '0.6477')
('2022-10-28', '0.6396')
